,0
Mwen pa sav si tantin'w pli vié ki manman mwen.,Je ne sais pas si ta tante est plus âgée que ma mère.
"Si ou pa an jéjen, nou pé ké pé fè pran san'w.","Si tu n’es pas à jeun, on ne pourra pas te faire de prise de sang."
Sé anni bann volè ki pé agi kon misié.,Seuls les malfaiteurs peuvent agir comme lui.
Alé gadé zéklè an tet piebwa.,Aller voir les éclairs au faîte des arbres.
Piti-mwen ka étidié jistéman an lékol.,Mon enfant étudie l’ajustage à l’école.
Ou té ké di kannzé Héctor pa jisté kon i fo.,On aurait dit que la chemise d’Hector n’est pas ajustée comme il faut.
I té ka travay vent lanné kon ajustè adan lizin Lareinty-la.,Il a travaillé vingt ans comme ajusteur à l’usine du Lareinty.
"Yonndé tan pasé, mwen tann Dodine ka fè bri.","Un moment passe, j’entends Dodine s’agiter."
I ajouté san pran tan pawol ki vini dèyè...,Il ajouta aussitôt les propos suivants...
Fok nou mandé act-la ba notè-a.,Il faut que nous demandions l’acte au notaire.
